LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,T2MDEW,T2M,KT_CLEAR,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN
50.07731,20.76851,2015,04,10,    0.00,  0.004554,    2.22,    9.77,              0.64,              0.64,              5.39,              5.33,              6.51
50.07731,20.76851,2015,04,11,    0.02,  0.005595,    5.00,   12.01,              0.64,              0.64,              5.39,              5.34,              6.83
50.07731,20.76851,2015,04,12,    0.26,  0.005811,    5.46,   11.25,              0.54,              0.54,-999,              4.54,              7.22
50.07731,20.76851,2015,04,13,    0.63,  0.004932,    3.26,    8.80,              0.26,              0.26,-999,              2.24,              6.93
50.07731,20.76851,2015,04,14,    0.03,  0.003784,   -0.22,    5.67,              0.56,              0.56,-999,              4.79,              6.85
50.07731,20.76851,2015,04,15,    0.19,  0.006634,    7.29,   11.79,              0.46,              0.46,-999,              4.09,              7.74
50.07731,20.76851,2015,04,16,    0.18,  0.006631,    7.48,   12.31,              0.37,              0.37,-999,              3.25,              7.63
50.07731,20.76851,2015,04,17,    0.79,  0.004668,    2.50,    7.66,              0.41,              0.41,-999,              3.62,              7.19
50.07731,20.76851,2015,04,18,    1.87,  0.004037,    0.59,    3.56,              0.26,              0.26,-999,              2.31,              7.03
50.07731,20.76851,2015,04,19,    0.53,  0.004227,    1.20,    5.26,              0.14,              0.14,-999,              1.28,              7.09
50.07731,20.76851,2015,04,20,    0.20,  0.004187,    1.05,    6.92,              0.34,              0.34,-999,              3.10,              6.98
50.07731,20.76851,2015,04,21,    0.07,  0.004464,    1.89,    6.69,              0.46,              0.46,-999,              4.20,              6.88
50.07731,20.76851,2015,04,22,    0.00,  0.004672,    2.68,    9.05,              0.50,              0.50,-999,              4.71,              6.79
50.07731,20.76851,2015,04,23,    0.00,  0.005353,    4.41,   10.82,              0.67,              0.67,              6.13,              6.12,              6.52
50.07731,20.76851,2015,04,24,    0.19,  0.006548,    7.29,   13.48,              0.55,              0.55,-999,              5.11,              7.51
50.07731,20.76851,2015,04,25,    0.02,  0.007079,    8.46,   14.80,              0.56,              0.56,-999,              5.38,              7.67
50.07731,20.76851,2015,04,26,    0.96,  0.007813,    9.92,   14.42,              0.43,              0.43,-999,              4.04,              8.03
50.07731,20.76851,2015,04,27,    0.42,  0.008417,   10.96,   15.88,              0.62,              0.62,              6.09,              5.86,              7.68
50.07731,20.76851,2015,04,28,    4.75,  0.008713,   11.39,   15.08,              0.32,              0.32,-999,              3.13,              8.56
50.07731,20.76851,2015,04,29,    2.69,  0.004491,    2.07,    7.58,              0.53,              0.53,-999,              5.06,              6.95
50.07731,20.76851,2015,04,30,    0.05,  0.005036,    3.56,    9.32,              0.60,              0.60,-999,              5.76,              6.81
50.07731,20.76851,2015,05,01,    3.63,  0.006365,    6.90,   11.11,              0.14,              0.14,-999,              1.39,              8.08
50.07731,20.76851,2015,05,02,    3.24,  0.005747,    5.37,    9.65,              0.37,              0.37,-999,              3.72,              7.66
50.07731,20.76851,2015,05,03,    0.00,  0.004861,    3.04,   11.03,              0.58,              0.58,-999,              5.82,              6.77
50.07731,20.76851,2015,05,04,    0.68,  0.008304,   10.61,   13.83,              0.33,              0.33,-999,              3.31,              8.30
50.07731,20.76851,2015,05,05,    0.26,  0.010383,   14.21,   17.81,              0.50,              0.50,              6.28,              5.07,              8.31
50.07731,20.76851,2015,05,06,    8.85,  0.010442,   14.30,   17.31,              0.13,              0.13,-999,              1.34,              9.21
50.07731,20.76851,2015,05,07,    0.55,  0.007399,    9.19,   14.12,              0.52,              0.52,-999,              5.38,              7.89
50.07731,20.76851,2015,05,08,    0.02,  0.005875,    5.91,   12.37,              0.54,              0.54,-999,              5.47,              7.17
50.07731,20.76851,2015,05,09,    0.68,  0.006908,    8.20,   13.90,              0.51,              0.51,-999,              5.17,              7.70
50.07731,20.76851,2015,05,10,    9.55,  0.007416,    9.26,   12.73,              0.25,              0.25,-999,              2.57,              7.91
50.07731,20.76851,2015,05,11,    0.16,  0.005745,    5.71,   10.90,              0.34,              0.34,-999,              3.53,              7.75
50.07731,20.76851,2015,05,12,    0.00,  0.006381,    6.97,   14.19,              0.66,              0.66,              6.92,              6.74,              7.39
50.07731,20.76851,2015,05,13,    0.55,  0.006397,    7.01,   14.09,              0.49,              0.49,-999,              5.26,              7.79
50.07731,20.76851,2015,05,14,    4.15,  0.006069,    6.20,   10.37,              0.22,              0.22,-999,              2.34,              7.24
50.07731,20.76851,2015,05,15,    0.02,  0.005468,    4.80,   10.88,              0.42,              0.42,-999,              4.45,              7.18
50.07731,20.76851,2015,05,16,    0.00,  0.006092,    6.35,   13.56,              0.56,              0.56,-999,              6.05,              7.50
50.07731,20.76851,2015,05,17,    0.25,  0.005670,    5.31,   11.69,              0.41,              0.41,-999,              4.45,              7.73
50.07731,20.76851,2015,05,18,    0.00,  0.005523,    4.87,   12.80,              0.62,              0.62,              7.07,              6.83,              7.07
50.07731,20.76851,2015,05,19,    1.15,  0.008585,   11.20,   18.02,              0.62,              0.62,              6.98,              6.75,              8.11
50.07731,20.76851,2015,05,20,   11.24,  0.010681,   14.61,   18.16,              0.53,              0.53,-999,              5.66,              8.91
50.07731,20.76851,2015,05,21,   22.30,  0.008092,   10.56,   12.27,              0.10,              0.10,-999,              1.12,              8.66
50.07731,20.76851,2015,05,22,    5.62,  0.007051,    8.62,   11.34,              0.29,              0.29,-999,              3.16,              8.36
50.07731,20.76851,2015,05,23,    8.79,  0.007570,    9.58,   10.90,              0.21,              0.21,-999,              2.26,              8.67
50.07731,20.76851,2015,05,24,    4.67,  0.007746,    9.94,   11.92,              0.14,              0.14,-999,              1.52,              8.76
50.07731,20.76851,2015,05,25,    2.20,  0.008880,   11.81,   13.27,              0.17,              0.17,-999,              1.84,              8.88
50.07731,20.76851,2015,05,26,   25.73,  0.009441,   12.70,   13.87,              0.12,              0.12,-999,              1.39,              8.83
50.07731,20.76851,2015,05,27,   19.06,  0.006013,    6.17,    8.43,              0.12,              0.12,-999,              1.39,              7.93
50.07731,20.76851,2015,05,28,    0.06,  0.005724,    5.50,   10.55,              0.28,              0.28,-999,              3.16,              7.78
50.07731,20.76851,2015,05,29,    0.02,  0.006834,    7.81,   13.96,              0.59,              0.59,              7.33,              6.53,              7.40
50.07731,20.76851,2015,05,30,    2.68,  0.008885,   11.84,   16.75,              0.53,              0.53,              7.23,              5.89,              8.14
50.07731,20.76851,2015,05,31,    0.21,  0.007149,    8.71,   14.65,              0.58,              0.58,-999,              6.54,              7.70
50.07731,20.76851,2015,06,01,    0.25,  0.009429,   12.76,   18.43,              0.62,              0.62,              7.16,              6.98,              8.11
50.07731,20.76851,2015,06,02,    1.99,  0.011039,   15.28,   20.19,              0.55,              0.55,-999,              6.16,              8.60
50.07731,20.76851,2015,06,03,    0.02,  0.011775,   16.26,   21.96,              0.59,              0.59,              7.12,              6.82,              8.85
50.07731,20.76851,2015,06,04,    0.16,  0.008480,   11.22,   17.22,              0.39,              0.39,-999,              4.51,              8.69
50.07731,20.76851,2015,06,05,    0.00,  0.006950,    8.41,   15.83,              0.64,              0.64,              7.49,              7.42,              7.14
50.07731,20.76851,2015,06,06,    0.00,  0.008569,   11.36,   18.73,              0.66,              0.66,              7.41,              7.41,              7.68
50.07731,20.76851,2015,06,07,    0.01,  0.011247,   15.60,   22.31,              0.64,              0.64,              7.24,              7.17,              8.46
50.07731,20.76851,2015,06,08,    1.81,  0.009188,   12.52,   16.96,              0.42,              0.42,-999,              4.77,              8.75
50.07731,20.76851,2015,06,09,    1.40,  0.008501,   11.32,   16.48,              0.61,              0.61,              7.26,              7.02,              8.45
50.07731,20.76851,2015,06,10,    0.03,  0.008621,   11.57,   16.96,              0.56,              0.56,              7.27,              6.58,              8.43
50.07731,20.76851,2015,06,11,    0.03,  0.008975,   12.15,   18.44,              0.49,              0.49,-999,              5.67,              8.45
50.07731,20.76851,2015,06,12,    0.12,  0.010533,   14.38,   21.17,              0.61,              0.61,              7.27,              7.20,              8.43
50.07731,20.76851,2015,06,13,    0.82,  0.011777,   16.17,   23.78,              0.61,              0.61,              7.25,              7.01,              8.90
50.07731,20.76851,2015,06,14,    0.26,  0.011672,   16.04,   22.32,              0.57,              0.57,              7.26,              6.61,              8.86
50.07731,20.76851,2015,06,15,   16.96,  0.011713,   16.08,   19.11,              0.22,              0.22,-999,              2.57,              9.32
50.07731,20.76851,2015,06,16,    0.13,  0.006593,    7.42,   14.56,              0.49,              0.49,-999,              5.62,              7.87
50.07731,20.76851,2015,06,17,    0.01,  0.006274,    6.80,   14.67,              0.42,              0.42,-999,              4.90,              7.91
50.07731,20.76851,2015,06,18,    0.01,  0.006701,    7.74,   15.41,              0.37,              0.37,-999,              4.27,              8.15
50.07731,20.76851,2015,06,19,    6.96,  0.007656,    9.62,   13.58,              0.21,              0.21,-999,              2.38,              8.39
50.07731,20.76851,2015,06,20,    2.13,  0.006590,    7.47,   12.35,              0.37,              0.37,-999,              4.26,              7.62
50.07731,20.76851,2015,06,21,    1.13,  0.007027,    8.47,   13.03,              0.41,              0.41,-999,              4.72,              7.89
50.07731,20.76851,2015,06,22,    0.26,  0.007573,    9.44,   15.46,              0.48,              0.48,-999,              5.53,              8.06
50.07731,20.76851,2015,06,23,    4.95,  0.008288,   10.77,   14.35,              0.10,              0.10,-999,              1.16,              8.48
50.07731,20.76851,2015,06,24,    0.10,  0.006758,    7.93,   14.00,              0.44,              0.44,-999,              5.04,              7.99
50.07731,20.76851,2015,06,25,    0.05,  0.006830,    8.15,   14.82,              0.37,              0.37,-999,              4.30,              8.31
50.07731,20.76851,2015,06,26,    0.02,  0.007647,    9.72,   17.25,              0.47,              0.47,-999,              5.51,              8.62
